inventory_id,warehouse_id,product_id,batch_number,quantity,reorder_level,unit_cost,last_stocked_date
1,2.0,1536.0,BT285444,135,57,1268.15,2026-04-09 14:25:20.908222
2,2.0,2809.0,BT424531,80,66,184.42,2026-06-29 14:25:20.908424
3,2.0,2781.0,BT685725,113,33,547.58,2025-12-27 14:25:20.908468
4,4.0,1309.0,BT606689,385,35,712.07,2025-08-09 14:25:20.908499
5,1.0,757.0,BT481668,33,72,559.44,2025-10-11 14:25:20.908529
6,4.0,1617.0,BT422728,339,65,620.47,2025-08-21 14:25:20.908556
7,3.0,2744.0,BT207899,35,32,790.42,2026-04-30 14:25:20.908582
8,2.0,644.0,BT407532,428,67,876.22,2025-10-01 14:25:20.908609
9,4.0,900.0,BT952185,469,63,1007.1,2026-05-13 14:25:20.908634
10,2.0,2119.0,BT675665,44,62,127.11,2026-04-14 14:25:20.908667
11,4.0,2557.0,BT518404,364,77,1459.33,2025-10-06 14:25:20.908693
12,4.0,587.0,BT832957,56,25,1333.64,2025-11-16 14:25:20.908718
13,2.0,2923.0,BT138433,55,44,1122.22,2025-12-04 14:25:20.908742
14,2.0,344.0,BT656624,5,38,1274.49,2025-12-28 14:25:20.908767
15,1.0,2334.0,BT197596,167,27,1279.93,2025-12-30 14:25:20.908792
16,3.0,2090.0,BT140313,71,56,1061.82,2025-08-01 14:25:20.908816
17,1.0,2165.0,BT640169,396,80,930.56,2026-04-01 14:25:20.908841
18,1.0,2504.0,BT335636,202,48,522.62,2025-07-25 14:25:20.908865
19,4.0,338.0,BT854413,247,51,1311.32,2025-11-14 14:25:20.908889
20,2.0,1097.0,BT782001,327,48,1104.78,2026-07-08 14:25:20.908914
21,3.0,1686.0,BT728755,201,40,1111.57,2026-05-17 14:25:20.908938
22,4.0,1304.0,BT271787,334,41,789.27,2026-07-17 14:25:20.908962
23,4.0,336.0,BT640884,456,26,680.27,2025-09-14 14:25:20.908987
24,2.0,1634.0,BT759943,254,44,1179.33,2025-08-06 14:25:20.909011
25,1.0,422.0,BT802126,144,79,1270.92,2026-05-26 14:25:20.909035
26,2.0,1152.0,BT266967,466,74,1339.63,2026-07-14 14:25:20.909059
27,1.0,2010.0,BT425283,207,34,389.45,2025-11-16 14:25:20.909083
28,4.0,1832.0,BT354402,344,54,1163.9,2026-03-24 14:25:20.909108
29,1.0,2780.0,BT515434,493,58,1280.99,2025-09-11 14:25:20.909132
30,3.0,1001.0,BT393087,88,41,1277.88,2026-05-28 14:25:20.909156
31,3.0,99.0,BT935915,72,78,1235.58,2026-03-20 14:25:20.909179
32,2.0,2146.0,BT546853,78,29,895.54,2026-02-16 14:25:20.909203
33,3.0,1395.0,BT153459,411,53,694.2,2026-07-01 14:25:20.909227
34,2.0,1944.0,BT741745,260,20,214.1,2026-05-10 14:25:20.909250
35,2.0,206.0,BT694726,406,70,1333.06,2025-08-05 14:25:20.909274
36,3.0,189.0,BT324967,197,64,1240.44,2026-06-18 14:25:20.909298
37,4.0,1917.0,BT281915,97,72,855.49,2026-03-12 14:25:20.909322
38,2.0,159.0,BT146580,494,54,15.36,2026-07-17 14:25:20.909351
39,2.0,1373.0,BT540722,494,68,274.63,2026-06-24 14:25:20.909376
40,4.0,986.0,BT935825,148,46,802.78,2025-09-16 14:25:20.909407
41,3.0,801.0,BT725537,237,20,1413.86,2025-12-13 14:25:20.909432
42,4.0,1423.0,BT560376,250,40,626.19,2026-03-12 14:25:20.909457
43,2.0,859.0,BT595447,6,50,822.38,2026-07-07 14:25:20.909480
44,4.0,2497.0,BT320257,109,37,469.17,2026-05-10 14:25:20.909504
45,4.0,721.0,BT462970,411,66,158.47,2026-07-02 14:25:20.909528
46,3.0,181.0,BT561328,354,63,458.87,2026-06-02 14:25:20.909551
47,3.0,2568.0,BT939657,474,28,1358.37,2026-03-12 14:25:20.909574
48,2.0,491.0,BT575247,342,77,1262.31,2025-09-30 14:25:20.909597
49,2.0,781.0,BT455108,45,26,458.68,2025-07-19 14:25:20.909620
50,1.0,184.0,BT307982,360,31,761.85,2025-12-06 14:25:20.909644
51,1.0,817.0,BT990792,477,24,1193.25,2025-08-21 14:25:20.909667
52,1.0,569.0,BT426696,217,22,1323.97,2025-09-17 14:25:20.909690
53,3.0,2682.0,BT601196,199,61,690.87,2026-07-11 14:25:20.909713
54,4.0,2993.0,BT453647,68,68,585.78,2026-03-12 14:25:20.909737
55,2.0,1914.0,BT146962,371,23,241.13,2026-05-12 14:25:20.909761
56,3.0,1991.0,BT784100,34,79,1031.73,2026-02-25 14:25:20.909785
57,2.0,2380.0,BT292187,261,67,143.69,2026-01-28 14:25:20.909808
58,2.0,2497.0,BT889346,90,74,247.85,2026-04-08 14:25:20.909836
59,4.0,2979.0,BT909022,490,48,454.74,2025-12-11 14:25:20.909861
60,4.0,1169.0,BT718895,144,31,378.99,2026-04-19 14:25:20.909885
61,4.0,1305.0,BT635845,184,38,774.02,2026-03-15 14:25:20.909908
