product_id,sku,product_name,category,brand,supplier_id,unit,unit_price,status
1,SKU00001,Parle Product 1,Cleaning,Unilever,25.0,Pack,24.69,Inactive
2,SKU00002,Unilever Product 2,Cleaning,P&G,71.0,Litre,1947.67,Active
3,SKU00003,Amul Product 3,Dairy,Amul,24.0,Kg,2082.15,Inactive
4,SKU00004,Parle Product 4,Bakery,P&G,77.0,Piece,616.53,Inactive
5,SKU00005,Amul Product 5,Dairy,ITC,111.0,Piece,667.17,Inactive
6,SKU00006,Amul Product 6,Bakery,Amul,189.0,Litre,862.59,Inactive
7,SKU00007,Parle Product 7,Snacks,Britannia,178.0,Bottle,2434.77,Active
8,SKU00008,P&G Product 8,Frozen Food,Nestle,139.0,Kg,544.57,Inactive
9,SKU00009,Dabur Product 9,Snacks,Dabur,65.0,Piece,1966.15,Active
10,SKU00010,Amul Product 10,Household,Parle,190.0,Bottle,1858.85,Active
11,SKU00011,Unilever Product 11,Cleaning,Parle,46.0,Kg,1858.65,Active
12,SKU00012,ITC Product 12,Frozen Food,Nestle,45.0,Pack,125.31,Active
13,SKU00013,Britannia Product 13,Snacks,Nestle,149.0,Litre,1033.37,Active
14,SKU00014,Unilever Product 14,Personal Care,Unilever,183.0,Kg,1093.66,Active
15,SKU00015,Parle Product 15,Frozen Food,Parle,98.0,Piece,1078.37,Active
16,SKU00016,Parle Product 16,Dairy,Nestle,181.0,Kg,70.56,Inactive
17,SKU00017,P&G Product 17,Personal Care,Britannia,82.0,Pack,77.48,Inactive
18,SKU00018,Amul Product 18,Bakery,Amul,4.0,Kg,2117.66,Active
19,SKU00019,Parle Product 19,Frozen Food,P&G,112.0,Bottle,1846.25,Active
20,SKU00020,ITC Product 20,Snacks,ITC,98.0,Litre,253.64,Inactive
21,SKU00021,Amul Product 21,Cleaning,Unilever,125.0,Litre,1679.6,Active
22,SKU00022,Dabur Product 22,Dairy,Unilever,80.0,Bottle,855.88,Inactive
23,SKU00023,Dabur Product 23,Bakery,P&G,129.0,Litre,2489.98,Inactive
24,SKU00024,Nestle Product 24,Personal Care,ITC,93.0,Litre,109.88,Inactive
25,SKU00025,Amul Product 25,Household,Amul,98.0,Bottle,677.18,Active
26,SKU00026,Unilever Product 26,Personal Care,Parle,75.0,Pack,85.58,Inactive
27,SKU00027,ITC Product 27,Household,Dabur,176.0,Kg,1436.5,Active
28,SKU00028,Nestle Product 28,Cleaning,Unilever,10.0,Kg,571.09,Inactive
29,SKU00029,Amul Product 29,Snacks,ITC,92.0,Kg,1934.18,Active
30,SKU00030,P&G Product 30,Household,Nestle,197.0,Kg,762.89,Active
31,SKU00031,Dabur Product 31,Cleaning,P&G,102.0,Piece,2342.81,Inactive
32,SKU00032,Dabur Product 32,Personal Care,Unilever,196.0,Kg,614.85,Inactive
33,SKU00033,P&G Product 33,Dairy,Dabur,118.0,Piece,2426.13,Active
34,SKU00034,Britannia Product 34,Bakery,Nestle,74.0,Pack,2448.51,Active
35,SKU00035,Britannia Product 35,Personal Care,Dabur,37.0,Bottle,1194.15,Inactive
36,SKU00036,Parle Product 36,Beverages,Parle,88.0,Piece,1038.84,Active
37,SKU00037,Dabur Product 37,Dairy,Parle,103.0,Bottle,1353.99,Active
38,SKU00038,Nestle Product 38,Bakery,ITC,147.0,Pack,359.04,Inactive
39,SKU00039,Unilever Product 39,Frozen Food,Parle,191.0,Bottle,2246.38,Inactive
40,SKU00040,Parle Product 40,Cleaning,Nestle,182.0,Piece,878.77,Inactive
41,SKU00041,Britannia Product 41,Cleaning,P&G,181.0,Litre,1650.22,Active
42,SKU00042,Britannia Product 42,Frozen Food,Dabur,82.0,Pack,1839.03,Active
43,SKU00043,Unilever Product 43,Personal Care,Dabur,70.0,Pack,1817.65,Active
44,SKU00044,Parle Product 44,Dairy,ITC,116.0,Bottle,1457.99,Inactive
45,SKU00045,Britannia Product 45,Frozen Food,Unilever,147.0,Kg,2391.99,Inactive
46,SKU00046,Nestle Product 46,Cleaning,Dabur,44.0,Bottle,943.58,Inactive
47,SKU00047,Britannia Product 47,Personal Care,Britannia,133.0,Piece,2338.49,Inactive
48,SKU00048,P&G Product 48,Beverages,Amul,183.0,Litre,1189.34,Inactive
49,SKU00049,Unilever Product 49,Beverages,P&G,174.0,Pack,1431.68,Active
50,SKU00050,Britannia Product 50,Dairy,Nestle,40.0,Bottle,2283.85,Active
51,SKU00051,Nestle Product 51,Frozen Food,P&G,200.0,Bottle,1638.35,Active
52,SKU00052,Amul Product 52,Cleaning,Unilever,79.0,Piece,71.3,Active
53,SKU00053,Nestle Product 53,Snacks,Nestle,148.0,Litre,1117.22,Active
54,SKU00054,ITC Product 54,Frozen Food,Nestle,50.0,Litre,701.12,Active
55,SKU00055,ITC Product 55,Beverages,P&G,198.0,Pack,1331.08,Inactive
56,SKU00056,ITC Product 56,Household,Parle,174.0,Kg,377.78,Inactive
57,SKU00057,Unilever Product 57,Snacks,Unilever,32.0,Piece,1966.97,Inactive
58,SKU00058,ITC Product 58,Frozen Food,Parle,157.0,Litre,449.38,Active
59,SKU00059,Dabur Product 59,Beverages,Parle,39.0,Pack,605.19,Inactive
60,SKU00060,P&G Product 60,Beverages,Britannia,86.0,Litre,2187.92,Inactive
61,SKU00061,Unilever Product 61,Frozen Food,P&G,39.0,Kg,2458.13,Active
62,SKU00062,Britannia Product 62,Frozen Food,Parle,21.0,Bottle,2410.19,Inactive
63,SKU00063,P&G Product 63,Bakery,Nestle,40.0,Litre,1579.38,Active
64,SKU00064,Nestle Product 64,Dairy,Amul,78.0,Bottle,2068.0,Inactive
65,SKU00065,Parle Product 65,Household,Nestle,166.0,Piece,1767.95,Active
66,SKU00066,Dabur Product 66,Dairy,Nestle,189.0,Pack,2279.0,Active
67,SKU00067,ITC Product 67,Dairy,Amul,8.0,Litre,205.24,Active
68,SKU00068,P&G Product 68,Personal Care,Parle,166.0,Pack,1069.98,Inactive
69,SKU00069,Amul Product 69,Beverages,Nestle,58.0,Piece,317.84,Active
70,SKU00070,P&G Product 70,Bakery,Nestle,108.0,Bottle,2281.61,Inactive
71,SKU00071,Britannia Product 71,Frozen Food,Nestle,28.0,Litre,1469.25,Inactive
72,SKU00072,ITC Product 72,Bakery,Britannia,99.0,Kg,848.47,Inactive
73,SKU00073,Unilever Product 73,Personal Care,Parle,138.0,Kg,2003.2,Active
74,SKU00074,P&G Product 74,Frozen Food,P&G,85.0,Piece,1392.4,Inactive
75,SKU00075,Unilever Product 75,Beverages,Dabur,83.0,Litre,123.34,Active
76,SKU00076,P&G Product 76,Cleaning,Dabur,182.0,Piece,1522.39,Active
77,SKU00077,Parle Product 77,Cleaning,Amul,172.0,Kg,984.18,Inactive
78,SKU00078,Dabur Product 78,Snacks,Dabur,25.0,Litre,935.13,Active
79,SKU00079,Amul Product 79,Frozen Food,Britannia,40.0,Litre,723.67,Inactive
