supplier_id,supplier_code,supplier_name,city,phone,email,gst_number,status
1,SUP0001,Supplier 1,Guwahati,9928524688,supplier1@gmail.com,19ABCDE0001F1Z5,Active
2,SUP0002,Supplier 2,Mumbai,9734870420,supplier2@gmail.com,19ABCDE0002F1Z5,Inactive
3,SUP0003,Supplier 3,Hyderabad,9818582557,supplier3@gmail.com,19ABCDE0003F1Z5,Inactive
4,SUP0004,Supplier 4,Kolkata,9153326375,supplier4@gmail.com,19ABCDE0004F1Z5,Inactive
5,SUP0005,Supplier 5,Chennai,9444228750,supplier5@gmail.com,19ABCDE0005F1Z5,Inactive
6,SUP0006,Supplier 6,Pune,9644123683,supplier6@gmail.com,19ABCDE0006F1Z5,Inactive
7,SUP0007,Supplier 7,Kolkata,9288454739,supplier7@gmail.com,19ABCDE0007F1Z5,Active
8,SUP0008,Supplier 8,Pune,9651519129,supplier8@gmail.com,19ABCDE0008F1Z5,Active
9,SUP0009,Supplier 9,Hyderabad,9301461172,supplier9@gmail.com,19ABCDE0009F1Z5,Inactive
10,SUP0010,Supplier 10,Hyderabad,9105415107,supplier10@gmail.com,19ABCDE0010F1Z5,Active
11,SUP0011,Supplier 11,Hyderabad,9549610211,supplier11@gmail.com,19ABCDE0011F1Z5,Active
12,SUP0012,Supplier 12,Chennai,9232796930,supplier12@gmail.com,19ABCDE0012F1Z5,Active
13,SUP0013,Supplier 13,Chennai,9860376995,supplier13@gmail.com,19ABCDE0013F1Z5,Inactive
14,SUP0014,Supplier 14,Hyderabad,9390261721,supplier14@gmail.com,19ABCDE0014F1Z5,Active
15,SUP0010,Supplier 15,Kolkata,9810666634,supplier15@gmail.com,19ABCDE0015F1Z5,Inactive
16,SUP0016,Supplier 16,Kolkata,9181884341,supplier16@gmail.com,19ABCDE0016F1Z5,Active
17,SUP0017,Supplier 17,Bengaluru,9135650192,supplier17@gmail.com,19ABCDE0017F1Z5,Active
18,SUP0018,Supplier 18,Hyderabad,9112474572,supplier18@gmail.com,19ABCDE0018F1Z5,Inactive
19,SUP0019,Supplier 19,Hyderabad,9883809686,supplier19@gmail.com,19ABCDE0019F1Z5,Inactive
20,SUP0020,Supplier 20,Hyderabad,9219225269,supplier20@gmail.com,19ABCDE0020F1Z5,Inactive
21,SUP0021,Supplier 21,Chennai,9388875751,supplier21@gmail.com,19ABCDE0021F1Z5,Inactive
22,SUP0022,Supplier 22,Mumbai,9423589521,supplier22@gmail.com,19ABCDE0022F1Z5,Inactive
23,SUP0023,Supplier 23,Hyderabad,9487329529,supplier23@gmail.com,19ABCDE0023F1Z5,Active
24,SUP0024,Supplier 24,Kolkata,9216374119,supplier24@gmail.com,19ABCDE0024F1Z5,Active
25,SUP0025,Supplier 25,Hyderabad,9865490646,supplier25@gmail.com,19ABCDE0025F1Z5,Inactive
26,SUP0026,Supplier 26,Hyderabad,9403454958,supplier26@gmail.com,19ABCDE0026F1Z5,Active
27,SUP0027,Supplier 27,Hyderabad,9347082034,supplier27@gmail.com,19ABCDE0027F1Z5,Inactive
28,SUP0028,Supplier 28,Hyderabad,9479103058,supplier28@gmail.com,19ABCDE0028F1Z5,Inactive
29,SUP0029,Supplier 29,Pune,9422248846,supplier29@gmail.com,19ABCDE0029F1Z5,Inactive
30,SUP0030,Supplier 30,Bengaluru,9996642045,supplier30@gmail.com,19ABCDE0030F1Z5,Inactive
31,SUP0031,Supplier 31,Hyderabad,9798072798,supplier31@gmail.com,19ABCDE0031F1Z5,Active
32,SUP0032,Supplier 31,Hyderabad,9147952736,supplier32@gmail.com,19ABCDE0032F1Z5,Inactive
33,SUP0033,Supplier 33,Hyderabad,9104319379,supplier33@gmail.com,19ABCDE0033F1Z5,Inactive
34,SUP0034,Supplier 34,Delhi,9205317746,supplier34@gmail.com,19ABCDE0034F1Z5,Active
35,SUP0035,Supplier 35,Kolkata,9412709011,supplier35@gmail.com,19ABCDE0035F1Z5,Active
36,SUP0036,Supplier 36,Mumbai,9510788097,supplier36@gmail.com,19ABCDE0036F1Z5,Inactive
37,SUP0037,Supplier 37,Guwahati,9467816413,supplier37@gmail.com,19ABCDE0037F1Z5,Active
38,SUP0038,Supplier 38,Guwahati,9395432143,supplier38@gmail.com,19ABCDE0038F1Z5,Inactive
39,SUP0039,Supplier 39,Bengaluru,9444258196,supplier39@gmail.com,19ABCDE0039F1Z5,Inactive
40,SUP0040,Supplier 40,Pune,9787756035,supplier40@gmail.com,19ABCDE0040F1Z5,Active
41,SUP0041,Supplier 41,Mumbai,9793637742,supplier41@gmail.com,19ABCDE0041F1Z5,Inactive
42,SUP0042,Supplier 42,Kolkata,9970793356,supplier42@gmail.com,19ABCDE0042F1Z5,Inactive
43,SUP0043,Supplier 43,Bengaluru,9306808673,supplier43@gmail.com,19ABCDE0043F1Z5,Active
44,SUP0044,Supplier 44,Delhi,9442253677,supplier44@gmail.com,19ABCDE0044F1Z5,Inactive
45,SUP0045,Supplier 45,Bengaluru,9132287239,supplier45@gmail.com,19ABCDE0045F1Z5,Active
46,SUP0046,Supplier 46,Kolkata,9649132551,supplier46@gmail.com,19ABCDE0046F1Z5,Active
47,SUP0047,Supplier 47,Pune,9517299701,supplier47@gmail.com,19ABCDE0047F1Z5,Inactive
48,SUP0048,Supplier 48,Bengaluru,9918763401,supplier48@gmail.com,19ABCDE0048F1Z5,Inactive
49,SUP0049,Supplier 49,Pune,9706727709,supplier49@gmail.com,19ABCDE0049F1Z5,Inactive
50,SUP0050,Supplier 50,Chennai,9422922406,supplier50@gmail.com,19ABCDE0050F1Z5,Inactive
51,SUP0051,   Supplier 51,Pune,9343265326,supplier51@gmail.com,19ABCDE0051F1Z5,Inactive
52,SUP0052,Supplier 52,Kolkata,9429208976,supplier52@gmail.com,19ABCDE0052F1Z5,Inactive
53,SUP0053,Supplier 53,Mumbai,9375900098,supplier53@gmail.com,19ABCDE0053F1Z5,Active
54,SUP0054,Supplier 54,Kolkata,9115019283,supplier54@gmail.com,19ABCDE0054F1Z5,Inactive
55,SUP0055,Supplier 55,Chennai,9421791385,supplier55@gmail.com,19ABCDE0055F1Z5,Inactive
56,SUP0056,Supplier 56,Chennai,9657402557,supplier56@gmail.com,19ABCDE0056F1Z5,Inactive
57,SUP0057,Supplier 57,Kolkata,9423322826,supplier57@gmail.com,19ABCDE0057F1Z5,Inactive
58,SUP0058,Supplier 58,Mumbai,9945758952,supplier58@gmail.com,19ABCDE0058F1Z5,Active
59,SUP0059,Supplier 59,Kolkata,9397248351,supplier59@gmail.com,19ABCDE0059F1Z5,Inactive
60,SUP0060,Supplier 60,Kolkata,9458938148,supplier60@gmail.com,19ABCDE0060F1Z5,Inactive
61,SUP0061,Supplier 61   ,Pune,9193460153,supplier61@gmail.com,19ABCDE0061F1Z5,Inactive
62,SUP0062,Supplier 62,Pune,9974948796,supplier62@gmail.com,19ABCDE0062F1Z5,Active
63,SUP0063,Supplier 63,Kolkata,9230238821,supplier63@gmail.com,19ABCDE0063F1Z5,Active
64,SUP0064,Supplier 64,Pune,9670125685,supplier64@gmail.com,19ABCDE0064F1Z5,Inactive
65,SUP0065,Supplier 65,Hyderabad,9554323950,supplier65@gmail.com,19ABCDE0065F1Z5,Inactive
66,SUP0066,Supplier 66,Chennai,9268093130,supplier66@gmail.com,19ABCDE0066F1Z5,Inactive
67,SUP0067,Supplier 67,Chennai,9957567584,supplier67@gmail.com,19ABCDE0067F1Z5,Active
68,SUP0068,Supplier 68,Bengaluru,9361778206,supplier68@gmail.com,19ABCDE0068F1Z5,Inactive
69,SUP0069,Supplier 69,Delhi,9440969268,supplier69@gmail.com,19ABCDE0069F1Z5,Inactive
70,SUP0070,Supplier 70,Chennai,9250378353,supplier70@gmail.com,19ABCDE0070F1Z5,Active
71,SUP0071,Supplier 71,Guwahati,9178739199,supplier71@gmail.com,19ABCDE0071F1Z5,Inactive
72,SUP0072,Supplier 72,Kolkata,9890977853,supplier72@gmail.com,19ABCDE0072F1Z5,Inactive
73,SUP0073,Supplier 73,Delhi,9656478727,supplier73@gmail.com,19ABCDE0073F1Z5,Inactive
74,SUP0074,Supplier 74,Guwahati,9780551343,supplier74@gmail.com,19ABCDE0074F1Z5,Active
75,SUP0075,Supplier 75,Mumbai,9109997003,supplier75@gmail.com,19ABCDE0075F1Z5,Inactive
76,SUP0076,Supplier 76,Kolkata,9282625806,,19ABCDE0076F1Z5,Active
77,SUP0077,Supplier 77,Bengaluru,9429236404,supplier77@gmail.com,19ABCDE0077F1Z5,Active
78,SUP0078,Supplier 78,Chennai,9622216809,supplier78@gmail.com,19ABCDE0078F1Z5,Active
79,SUP0079,Supplier 79,Chennai,9447734778,supplier79@gmail.com,19ABCDE0079F1Z5,Inactive
80,SUP0080,Supplier 80,Kolkata,9906479052,supplier80@gmail.com,19ABCDE0080F1Z5,Active
81,SUP0081,Supplier 81,Hyderabad,9711488585,supplier81@gmail.com,19ABCDE0081F1Z5,Active
82,SUP0082,Supplier 82,Pune,9788932037,supplier81gmail.com,19ABCDE0082F1Z5,Active
83,SUP0083,Supplier 83,Delhi,9467075851,supplier83@gmail.com,19ABCDE0083F1Z5,Inactive
84,SUP0084,Supplier 84,Chennai,9125080354,supplier84@gmail.com,19ABCDE0084F1Z5,Inactive
85,SUP0085,Supplier 85,Chennai,9379210790,supplier85@gmail.com,19ABCDE0085F1Z5,Inactive
